# id|phase|ship|size|tabs|competitors|title|how
## Medication logistics
A1|1|OTA|M|Schedules,Life,Signals|CareClinic, Structured, Todoist|Weekly, weekday and every-N-days repeats|Extend RepeatType in lib/db.ts with weekly (chosen weekdays) and every_n_days; update the 60-day series generator, RepeatPicker in app/(tabs)/schedule.tsx and lib/reminderSchedule.ts. One piece of work serves meds (weekly methotrexate, biologics every 2 or 4 weeks, monthly vitamin D, B12), meals, appointments, upkeep and Exercise.
O1|4|R1|S-M|Life|(your question)|Phone contacts inside the app|expo-contacts: pick a contact for Emergency, a prescriber, a pharmacy, the family roster or a caregiver invite. Read on the phone, nothing copied out.
O2|4|R1|S|Life|(your question)|Text or call from inside the app|expo-sms opens the phone's texting app with the message filled in; calling already works through Linking.
O3|5|RL|L|Life|(your question)|Messages between Inside Story users|End to end encrypted with the keys in lib/deviceIdentity.ts and the connections roster; the relay (M1) carries sealed bytes it cannot read. Caregiver, partner and family notes, a missed-dose alert, a shared list change.
O4|7|OPT|M|Life|(your question)|Capture from other apps' notifications|A notification listener. Google Play treats it as sensitive, Android 15 hides its setting for sideloaded apps; opt-in only.
O5|7|DEC|XL|Life|(your question)|Inside Story as the default texting app|Android only, Play policy likely refuses it, the person loses RCS, and it cannot exist on iPhone or desktop. Ruled out by the owner on 2026-09-26; kept on the list only as the record of that decision. O1, O2, C11 and O3 are the route instead.
## Servers and relay
M1|5|RL|L|all|Medisafe, AnyList, CareClinic|Content-blind push relay|The Worker plus FCM, carrying a wake-up and sealed bytes only. Unlocks A16 on time, J12 instantly, and O3. Remote push setup rides in R1.
## Asked of you: these meet a standing rule or need a company server
Z1|7|OPT|L|Food,Insights|Cal AI, Cronometer|Photo sent to a vision model for ingredients|Open item 21. Opt-in each time, through the Worker, nothing stored, the person confirms every line.
Z2|7|DEC|M|Trends,Signals|Welltory, Oura|A readiness, stress or energy score|Breaks the Phase A rule that a score never stands in for a clinician. Only if you change that rule.
Z3|7|OPT|L|Home,Insights|Heali, Apple Health|AI chat and a model behind "ask your records"|Opt-in, answering only from the cited reading corpus with its evidence tier shown.
Z4|7|DEC|M|Schedules,Signals|MyTherapy, Waterllama|Streaks, challenges and characters|Ruled out by the Keeping Up rules. Listed because the competitors lead with them.
Z5|7|SRV|L|Signals|Flaredown|How others with my condition are doing|Needs a server holding pooled health data.
Z6|7|SRV|M|Life|MyFitnessPal, Eat This Much|Grocery delivery (Instacart, AmazonFresh)|A partner key and a server; the list goes to a company. G8 covers most of it.
Z7|7|WK|L|Food|MyFitnessPal|Chain restaurant menus|A keyed lookup through the Worker. Licensing the data is the cost.
Z8|7|WK|L|Garden|From Seed to Spoon|Seed packet barcode to variety|A keyed lookup; open data rarely resolves seeds.
Z9|7|SRV|S|Life|OurGroceries|Add by Alexa or Google Assistant|A skill needs a company server.
Z10|7|SRV|L|Life|YNAB, Monarch|Linked bank accounts|Plaid or GoCardless tokens held on a server. J1 covers most of it.
Z11|7|SRV|L|Reports,Schedules|Guava, mySymptoms, Healthie, CareClinic|A clinician dashboard or live link|Health data on a server. The PDF and CSV cover the visit.
Z12|7|DEC|M|Food,Insights|Fig|Store and restaurant guides|Pulls against home cooking over commercial products.
Z13|7|DEC|L|Signals|Visible, Welltory|Heart rate from the camera|Frame processing and validation; out of proportion.
Z14|7|DEC|L|Signals|Visible|A buzz from a worn sensor when overdoing it|Continuous background Bluetooth; heavy on battery.
Z15|7|DEC|S|none|Structured, MyTherapy, Paprika, Welltory, Bearable|A lifetime price and a hardship price|Store billing decisions for the tier table.
Z16|7|WK|L|Food,Insights|Yuka|Scanning fully offline|A country subset of Open Food Facts is still large; the Worker cache plus G21 covers most of it.
